*GUI(669401)*TOUCH_UP:(190,89)
*GUI(670101)*CLICK_DOUBLE:(191,76)
*GUI(670201)*TOUCH_UP:(191,76)
*GUI(670901)*TOUCH_DOWN:(191,76)
*GUI(671001)*TOUCH_UP:(191,76)
*GUI(671501)*CLICK_DOUBLE:(191,76)
*GUI(671601)*TOUCH_UP:(193,74)
*GUI(671901)*TOUCH_DOWN:(193,74)
*GUI(672001)*TOUCH_UP:(193,74)
*GUI(672201)*CLICK_DOUBLE:(193,74)
*GUI(672301)*TOUCH_UP:(193,74)
*GUI(672501)*TOUCH_DOWN:(193,74)
*GUI(672601)*TOUCH_UP:(193,74)
*GUI(672901)*CLICK_DOUBLE:(193,74)
*GUI(673001)*TOUCH_UP:(193,74)
*GUI(673301)*TOUCH_DOWN:(193,74)
*GUI(673301)*TOUCH_UP:(193,74)
*GUI(673601)*CLICK_DOUBLE:(193,74)
*GUI(673701)*TOUCH_UP:(193,74)
*GUI(674001)*TOUCH_DOWN:(193,74)
*GUI(674101)*TOUCH_UP:(193,74)
*GUI(675001)*CLICK_DOUBLE:(193,74)
*GUI(675101)*TOUCH_UP:(193,74)
*GUI(675401)*TOUCH_DOWN:(193,74)
*GUI(675501)*TOUCH_UP:(193,74)
*GUI(678301)*TOUCH_DOWN:(221,177)
*GUI(678401)*TOUCH_UP:(222,177)
*GUI(679501)*CLICK_DOUBLE:(221,177)
*GUI(679601)*TOUCH_UP:(221,177)
*GUI(680001)*TOUCH_DOWN:(221,177)
*GUI(680101)*TOUCH_UP:(221,177)
*GUI(681401)*TOUCH_DOWN:(220,175)
*GUI(681401)*TOUCH_UP:(221,175)
*GUI(681901)*CLICK_DOUBLE:(222,175)
*GUI(682001)*TOUCH_UP:(224,173)
*GUI(682801)*TOUCH_DOWN:(225,173)
*GUI(682901)*TOUCH_UP:(225,173)
*GUI(683201)*TOUCH_DOWN:(225,173)
*GUI(683301)*TOUCH_UP:(225,173)
*GUI(684301)*CLICK_DOUBLE:(225,172)
*GUI(684401)*TOUCH_UP:(225,173)
*GUI(685101)*TOUCH_DOWN:(225,173)
*GUI(685201)*TOUCH_UP:(225,173)
*GUI(685801)*CLICK_DOUBLE:(225,173)
*GUI(685901)*TOUCH_UP:(225,173)
*GUI(697701)*TOUCH_DOWN:(142,383)
*GUI(697801)*TOUCH_UP:(142,383)
*GUI(1241201)*TOUCH_DOWN:(161,371)
*GUI(1241301)*TOUCH_UP:(161,371)
*GUI(1241801)*TOUCH_DOWN:(35,372)
*GUI(1241901)*TOUCH_UP:(35,372)
*GUI(1243701)*TOUCH_DOWN:(329,233)
*GUI(1243801)*TOUCH_UP:(329,233)
*GUI(1244301)*TOUCH_DOWN:(268,80)
*GUI(1244401)*TOUCH_UP:(268,79)
*GUI(1244801)*TOUCH_DOWN:(285,135)
